unique_id,company,business_dba,street,city,state,zipcode,bq_id,bq_legal_entity_id
0,Loyal Vending & General Services LLC,,12365 SW 255th Ter,Homestead,FL,33032-5859,100041547617,BQ_US_FL_L21000312621
100,Jordan Marketing LLC,,30 Orchard St Apt 209,Norwalk,CT,06850-4241,100004666786,BQ_US_VA_S3279595
1000,Global Industry Corp.,,408 Broxburn Ave,Temple Terrace,FL,33617-7822,100031324633,BQ_US_FL_P12000084621
10001,Terrells Cleaning Service LLC,Terrells Cleaning Service,1200 Crawfordville Rd,White Plains,GA,30678-1708,100008505999,BQ_US_NY_5828647
10012,Tk's Lawn Service,TK Landscape and Lawn Service,13112 E 28th Ave,Spokane Valley,WA,99216-0286,100062333345,BQ_US_WA_604159063
1002,CT Logistics Corp,,502 SW 19th Ln,Cape Coral,FL,33991-3724,100023584116,BQ_US_FL_P20000043172
10023,Trixmed Transport LLC,Trixmed Transport,1829 Pemberton Ln Apt A,Indianapolis,IN,46260-1596,100063116562,BQ_US_IN_201905291324922
10032,"Hughes Constrution Industries, LLC",Hughes Constrution Industries,15001 Walden Rd Ste 101,Montgomery,TX,77356-5303,100034480267,BQ_US_TX_0803773811
10034,Eg Express Inc,EG Express,1924 E Linwood Ave,Turlock,CA,95380-6138,100002743667,BQ_US_NY_5483317
10035,"Exceptional Experience Educational Institute, LLC","Exceptional Experience Educational Institute,",1305 Georgia Ave,North Augusta,SC,29841-3019,100003074352,BQ_US_SC_940975
1004,Xuxtla Construction Corp.,,3700 S 52nd Ct,Cicero,IL,60804-4417,100066787000,BQ_US_IL_CORP_72695224
10040,Carburo Trucking Inc,Carburo Trucking,1175 NW 102nd St,Miami,FL,33150-1346,100019911070,BQ_US_FL_P17000025543
10044,Majestic Healthcare LLC,Majestic Healthcare,45 E Main St Ste 600,Uniontown,PA,15401-3588,100005475623,BQ_US_PA_6861338
10045,"Chagit Products, Inc.","Chagit Products,",591 Constitution Ave Ste B,Camarillo,CA,93012-9106,100001785868,BQ_US_WA_603486121
10047,"Double RR Collision, L.L.C.",Double RR Collision,7518 Commerce Ln,Clinton,MD,20735-1321,100025860435,BQ_US_MD_W20864138
10050,"Gulan Moving, LLC",Reliable Moving And Storage,13300 Walsingham Rd Apt 80,Largo,FL,33774-3521,100032326947,BQ_US_FL_L20000214230
10054,Lake Country Customs LLC,Lake Country Customs LLC,16825 W Lisbon Rd,Brookfield,WI,53005-1323,100005003518,BQ_US_WI_L044960
1006,Taloni Beauty Boutique LLC,,1231 S US Highway 1,Vero Beach,FL,32962-6450,100059612062,BQ_US_FL_L20000115122
10060,Heisey Home Solutions LLC,Heisey Home Solutions,4507 Mountain Valley Rd,Keezletown,VA,22832-2116,100033371710,BQ_US_VA_11197573
10061,Mogul Hearts LLC,Mogul Hearts,801 W State Road 436 # 20,Altamonte Springs,FL,32714-3054,100044966722,BQ_US_FL_L20000339004
10062,Scpalma LLC,Scpalma,3107 W Osborne Ave,Tampa,FL,33614-6661,100055545546,BQ_US_FL_L20000052346
10063,La Jolie LLC,Essence Spatique,2911 Turner Rd Ste A2,North Chesterfield,VA,23224-2564,100027775410,BQ_US_VA_11049403
10065,"Elec-Cellent Electric, LLC",Elec-Cellent Electric,633 Hillside Ct,Evansville,WI,53536-1087,100027012768,BQ_US_WI_E056458
10069,Ah Finance Consulting LLC,AH Finance Consulting,9795 SW 1st Pl,Boca Raton,FL,33428-4340,100012832515,BQ_US_FL_L18000067437
1007,"Sdb Contractors, Inc.",,11330 SW 57th St,Miami,FL,33173-1002,100055554139,BQ_US_FL_P21000069024
10079,Real Electric TX Ltd,Real Electric TX Ltd,9119 Highway 6 Ste 230,Missouri City,TX,77459-4879,100052236209,BQ_US_TX_0803965190
10089,Wilkerson Networks LLC,Wilkerson Networks,1550 E Caballero Dr,Casa Grande,AZ,85122-6598,100009572383,BQ_US_AZ_23189104
10090,"Shell's Cottage Decor, LLC",Shell's Cottage Decor,1075 Cedar Point Blvd,Cedar Point,NC,28584-8021,100056159413,BQ_US_NC_2140054
10094,Mehr Group of Companies Holding Inc,"Optima Salon Suites, Optima Franchising",26021 Horseshoe Cir,Laguna Hills,CA,92653-6148,100043726746,BQ_US_CA_3996934
1010,Wood Transport Service LLC,,506 Edward Ln,Louisville,GA,30434-1344,100066531503,BQ_US_GA_21137843
10101,"Infinite Pawsibilities, LLC",Bennys Bed And Biscuits,2330 S Center St,Maryville,IL,62062-5466,100004312511,BQ_US_MO_LC001436871
10108,A & A Transport LLC,A & A Transport,993 Uvalda St,Aurora,CO,80011-6663,100072353922,BQ_US_CO_20231527702
10109,Alpha Construction and Maintenance Inc,Alpha Construction and Maintenance,417 N Bonham Dr,Allen,TX,75013-2620,100000530536,BQ_US_TX_0803533406
10118,"Visions and Dreams, LLC",The Brunch House of Augusta,573 Greene St,Augusta,GA,30901-1459,100009277218,BQ_US_IA_557923
10128,Yemen Cafe & Bakery Inc.,Yemen Cafe & Bakery,1505 Broadway St,Buffalo,NY,14212-1846,100066985472,BQ_US_NY_5446483
10129,Six Senses TCI Holdings LLC,Six Senses TCI Holdings,1191 Banyan Rd,Boca Raton,FL,33432-7628,100056753615,BQ_US_FL_L21000106115
10132,Landscape Wholesale Distributors LLC,Landscape Wholesale Distributors LLC,25840 Interstate 10 W,Boerne,TX,78006-6520,100040033904,BQ_US_TX_0803353020
10138,La Ilusion Horse Transportation LLC,La Ilusion Horse Transportation,153 Beavers Rd,Canton,GA,30115-6127,100039728307,BQ_US_GA_20164256
1014,Anchor Towing & Roadside LLC,,6051 Olson Rd,Brooklyn,MD,21225-3920,100014215782,BQ_US_MD_W20760476
10143,Sea King Foods LLC,Sea King Foods,2875 NW 82nd Ave Ste 102,Doral,FL,33122-1064,100055633986,BQ_US_FL_L21000135959
10147,Ben Services of Florida Inc,Ben Services of Florida,18766 Cloud Lake Cir,Boca Raton,FL,33496-2125,100016771019,BQ_US_FL_P19000017782
10148,Arizona Angels Pv LLC,Arizona Angels,3285 N Reed Rd,Chino Valley,AZ,86323-5027,100014848742,BQ_US_AZ_23194411
1015,Turf Control LLC,,684 Hurricane Hill Rd,Dyersburg,TN,38024-6847,100071394294,
10154,Vass Trucking Inc,Vass Trucking,3453 110th St,Corona,NY,11368-1333,100009191424,BQ_US_NY_5172715
10162,Boostedbuilt LLC.,Boostedbuilt,1315 Main St Bldg D,Oakley,CA,94561-2923,100018141318,BQ_US_CA_202036510558
10165,New Fateh Transport Inc,New Fateh Transport,7081 N La Paz Ave,Fresno,CA,93722-3857,100046458052,BQ_US_CA_4610034
